[91,43]

[90,44]

[85,44]

[84,45]

[81,45]

[80,46]

[78,46]

[77,47]

[76,47]

[75,48]

[74,48]

[73,49]

[72,49]

[71,50]

[70,50]

[69,51]

[68,51]

[66,53]

[65,53]

[62,56]

[61,56]

[55,62]

[55,63]

[52,66]

[52,67]

[50,69]

[50,70]

[48,72]

[48,74]

[47,75]

[47,76]

[46,77]

[46,78]

[45,79]

[45,81]

[44,82]

[44,85]

[43,86]

[43,91]

[42,92]

[42,97]

[152,97]

[152,91]

[151,90]

[151,86]

[150,85]

[150,82]

[149,81]

[149,79]

[148,78]

[148,77]

[147,76]

[147,74]

[146,73]

[146,72]

[144,70]

[144,69]

[143,68]

[143,67]

[140,64]

[140,63]

[132,55]

[131,55]

[129,53]

[128,53]

[126,51]

[125,51]

[123,49]

[121,49]

[120,48]

[119,48]

[118,47]

[117,47]

[116,46]

[114,46]

[113,45]

[110,45]

[109,44]

[104,44]

[103,43].
