[93,27]

[92,28]

[92,29]

[91,30]

[91,31]

[90,32]

[90,33]

[89,34]

[89,35]

[88,36]

[88,37]

[87,38]

[87,39]

[86,40]

[86,41]

[85,42]

[85,43]

[84,44]

[84,45]

[83,46]

[83,47]

[82,48]

[82,49]

[81,50]

[81,51]

[80,52]

[80,53]

[79,54]

[79,55]

[78,56]

[78,57]

[77,58]

[77,59]

[76,60]

[76,61]

[75,62]

[75,63]

[74,64]

[74,65]

[73,66]

[73,67]

[72,68]

[72,69]

[71,70]

[71,71]

[70,72]

[70,73]

[69,74]

[69,75]

[68,76]

[68,77]

[67,78]

[67,79]

[66,80]

[66,81]

[65,82]

[65,83]

[64,84]

[64,85]

[63,86]

[63,87]

[62,88]

[62,89]

[61,90]

[61,91]

[59,93]

[59,94]

[58,95]

[58,96]

[57,97]

[57,98]

[56,99]

[56,100]

[55,101]

[55,102]

[54,103]

[54,104]

[53,105]

[53,106]

[52,107]

[52,108]

[51,109]

[51,110]

[50,111]

[50,112]

[49,113]

[49,114]

[48,115]

[48,116]

[47,117]

[47,118]

[46,119]

[46,120]

[45,121]

[45,122]

[44,123]

[44,124]

[43,125]

[43,126]

[42,127]

[42,128]

[41,129]

[41,130]

[40,131]

[40,132]

[39,133]

[39,134]

[38,135]

[38,136]

[37,137]

[37,138]

[36,139]

[36,140]

[35,141]

[35,142]

[34,143]

[34,144]

[33,145]

[33,146]

[32,147]

[32,148]

[31,149]

[31,150]

[30,151]

[30,152]

[29,153]

[29,154]

[28,155]

[28,157]

[29,158]

[158,158]

[159,157]

[159,155]

[158,154]

[158,153]

[157,152]

[157,151]

[156,150]

[156,149]

[155,148]

[155,147]

[154,146]

[154,145]

[153,144]

[153,143]

[152,142]

[152,141]

[151,140]

[151,139]

[150,138]

[150,137]

[149,136]

[149,135]

[148,134]

[148,133]

[147,132]

[147,131]

[146,130]

[146,129]

[145,128]

[145,127]

[144,126]

[144,125]

[143,124]

[143,123]

[142,122]

[142,121]

[141,120]

[141,119]

[140,118]

[140,117]

[139,116]

[139,115]

[138,114]

[138,113]

[137,112]

[137,111]

[136,110]

[136,109]

[135,108]

[135,107]

[134,106]

[134,105]

[133,104]

[133,103]

[132,102]

[132,101]

[131,100]

[131,98]

[130,97]

[130,96]

[129,95]

[129,94]

[128,93]

[128,92]

[127,91]

[127,90]

[126,89]

[126,88]

[125,87]

[125,86]

[124,85]

[124,84]

[123,83]

[123,82]

[122,81]

[122,80]

[121,79]

[121,78]

[120,77]

[120,76]

[119,75]

[119,74]

[118,73]

[118,72]

[117,71]

[117,70]

[116,69]

[116,68]

[115,67]

[115,66]

[114,65]

[114,64]

[113,63]

[113,62]

[112,61]

[112,60]

[111,59]

[111,58]

[110,57]

[110,56]

[109,55]

[109,54]

[108,53]

[108,52]

[107,51]

[107,50]

[106,49]

[106,48]

[105,47]

[105,46]

[104,45]

[104,44]

[103,43]

[103,42]

[102,41]

[102,40]

[101,39]

[101,38]

[100,37]

[100,36]

[99,35]

[99,34]

[98,33]

[98,32]

[97,31]

[97,30]

[96,29]

[96,28]

[95,27].
